0.7080	0.4341	-0.4497	0.3289	0.1991	0.8062
0.7119	0.4303	-0.4465	0.3297	0.2017	0.8070
0.7160	0.4264	-0.4432	0.3305	0.2044	0.8078
0.7200	0.4224	-0.4398	0.3312	0.2071	0.8087
0.7242	0.4183	-0.4364	0.3320	0.2100	0.8095
0.7283	0.4140	-0.4329	0.3328	0.2129	0.8103
0.7326	0.4097	-0.4293	0.3335	0.2159	0.8111
0.7368	0.4052	-0.4256	0.3342	0.2190	0.8119
0.7412	0.4007	-0.4219	0.3349	0.2221	0.8127
0.7455	0.3959	-0.4181	0.3356	0.2254	0.8135
0.7500	0.3911	-0.4141	0.3363	0.2287	0.8143
0.7545	0.3861	-0.4101	0.3369	0.2322	0.8151
0.7590	0.3810	-0.4061	0.3375	0.2357	0.8159
0.7636	0.3757	-0.4019	0.3381	0.2394	0.8166
0.7682	0.3702	-0.3976	0.3386	0.2432	0.8174
0.7729	0.3646	-0.3933	0.3391	0.2471	0.8181
0.7776	0.3589	-0.3888	0.3396	0.2511	0.8188
0.7824	0.3529	-0.3842	0.3401	0.2552	0.8195
0.7873	0.3468	-0.3796	0.3405	0.2595	0.8202
0.7921	0.3405	-0.3748	0.3408	0.2639	0.8208
0.7970	0.3340	-0.3699	0.3411	0.2684	0.8214
0.8020	0.3272	-0.3649	0.3414	0.2731	0.8220
0.8070	0.3203	-0.3598	0.3416	0.2779	0.8226
0.8121	0.3132	-0.3546	0.3417	0.2829	0.8231
0.8171	0.3058	-0.3492	0.3418	0.2881	0.8236
0.8223	0.2982	-0.3437	0.3418	0.2935	0.8240
0.8274	0.2904	-0.3381	0.3417	0.2990	0.8243
0.8326	0.2823	-0.3324	0.3415	0.3047	0.8246
0.8378	0.2739	-0.3265	0.3413	0.3106	0.8249
0.8430	0.2653	-0.3205	0.3409	0.3167	0.8250
0.8482	0.2564	-0.3144	0.3405	0.3231	0.8251
0.8535	0.2471	-0.3081	0.3400	0.3296	0.8251
0.8587	0.2376	-0.3017	0.3393	0.3364	0.8250
0.8640	0.2278	-0.2951	0.3385	0.3435	0.8248
0.8692	0.2176	-0.2884	0.3376	0.3508	0.8245
0.8744	0.2071	-0.2815	0.3366	0.3584	0.8240
0.8796	0.1962	-0.2745	0.3354	0.3662	0.8234
0.8847	0.1850	-0.2673	0.3340	0.3744	0.8227
0.8898	0.1734	-0.2600	0.3325	0.3828	0.8218
0.8949	0.1614	-0.2525	0.3308	0.3916	0.8207
0.8998	0.1489	-0.2449	0.3289	0.4007	0.8194
0.9047	0.1361	-0.2370	0.3267	0.4101	0.8178
0.9095	0.1228	-0.2291	0.3244	0.4200	0.8160
0.9142	0.1090	-0.2210	0.3218	0.4302	0.8140
0.9187	0.0948	-0.2127	0.3190	0.4408	0.8116
0.9231	0.0801	-0.2043	0.3159	0.4518	0.8089
0.9273	0.0649	-0.1957	0.3125	0.4632	0.8059
0.9313	0.0492	-0.1870	0.3088	0.4751	0.8024
0.9350	0.0329	-0.1781	0.3048	0.4875	0.7986
0.9385	0.0161	-0.1692	0.3004	0.5004	0.7942
0.9418	-0.0013	-0.1601	0.2957	0.5137	0.7893
0.9447	-0.0192	-0.1509	0.2906	0.5276	0.7838
0.9472	-0.0378	-0.1416	0.2851	0.5421	0.7777
0.9494	-0.0569	-0.1323	0.2791	0.5571	0.7709
0.9511	-0.0767	-0.1229	0.2727	0.5727	0.7633
0.9524	-0.0971	-0.1134	0.2658	0.5888	0.7548
0.9531	-0.1181	-0.1040	0.2584	0.6056	0.7454
0.9533	-0.1397	-0.0946	0.2505	0.6230	0.7349
0.9528	-0.1620	-0.0852	0.2420	0.6411	0.7233
0.9517	-0.1849	-0.0760	0.2329	0.6598	0.7104
0.9498	-0.2085	-0.0668	0.2233	0.6791	0.6961
0.9472	-0.2326	-0.0579	0.2130	0.6990	0.6802
0.9436	-0.2574	-0.0492	0.2021	0.7195	0.6625
0.9392	-0.2828	-0.0409	0.1906	0.7407	0.6430
0.9337	-0.3087	-0.0329	0.1784	0.7623	0.6212
0.9272	-0.3351	-0.0254	0.1656	0.7844	0.5971
0.9195	-0.3620	-0.0184	0.1521	0.8070	0.5704
0.9106	-0.3894	-0.0120	0.1380	0.8297	0.5407
0.9004	-0.4171	-0.0064	0.1234	0.8526	0.5077
0.8889	-0.4452	-0.0016	0.1081	0.8754	0.4711
0.8759	-0.4735	0.0022	0.0924	0.8979	0.4304
0.8615	-0.5019	0.0050	0.0764	0.9196	0.3852
0.8456	-0.5304	0.0066	0.0600	0.9403	0.3350
0.8281	-0.5589	0.0068	0.0436	0.9592	0.2793
0.8090	-0.5872	0.0056	0.0272	0.9757	0.2174
0.7883	-0.6152	0.0029	0.0112	0.9888	0.1489
0.7660	-0.6429	-0.0013	-0.0041	0.9973	0.0730
